"Fecha","Hora","MP10 (Âµg/mÂ³N)"
"24/10/2023","0",""
"24/10/2023","1",""
"24/10/2023","2",""
"24/10/2023","3",""
"24/10/2023","4",""
"24/10/2023","5",""
"24/10/2023","6",""
"24/10/2023","7",""
"24/10/2023","8",""
"24/10/2023","9",""
"24/10/2023","10","89.0"
"24/10/2023","11",""
"24/10/2023","12","41.6"
"24/10/2023","13","30.0"
"24/10/2023","14","66.7"
"24/10/2023","15","76.0"
"24/10/2023","16","65.1"
"24/10/2023","17","99.0"
"24/10/2023","18","51.9"
"24/10/2023","19","27.9"
"24/10/2023","20","10.8"
"24/10/2023","21","13.1"
"24/10/2023","22","12.6"
"24/10/2023","23","40.5"
"25/10/2023","0","65.3"
"25/10/2023","1","95.3"
"25/10/2023","2","24.7"
"25/10/2023","3",""
"25/10/2023","4","43.9"
"25/10/2023","5","22.0"
"25/10/2023","6","40.5"
"25/10/2023","7","74.1"
"25/10/2023","8","199.6"
"25/10/2023","9","152.5"
"25/10/2023","10","89.3"
"25/10/2023","11","290.7"
"25/10/2023","12","89.7"
"25/10/2023","13","43.7"
"25/10/2023","14","33.6"
"25/10/2023","15","66.0"
"25/10/2023","16","158.8"
"25/10/2023","17","206.4"
"25/10/2023","18","92.9"
"25/10/2023","19","41.1"
"25/10/2023","20","18.1"
"25/10/2023","21","24.0"
"25/10/2023","22","36.8"
"25/10/2023","23","46.4"
"26/10/2023","0","90.9"
"26/10/2023","1","61.2"
"26/10/2023","2","94.8"
"26/10/2023","3","110.5"
"26/10/2023","4","47.6"
"26/10/2023","5","38.0"
"26/10/2023","6","134.8"
"26/10/2023","7","224.0"
"26/10/2023","8","334.5"
"26/10/2023","9","119.6"
"26/10/2023","10","73.4"
"26/10/2023","11","221.6"
"26/10/2023","12",""
"26/10/2023","13","1.0"
"26/10/2023","14",""
"26/10/2023","15","229.5"
"26/10/2023","16","72.9"
"26/10/2023","17","64.8"
"26/10/2023","18","242.7"
"26/10/2023","19","74.8"
"26/10/2023","20","48.6"
"26/10/2023","21","62.8"
"26/10/2023","22","47.1"
"26/10/2023","23","62.6"
"27/10/2023","0","127.4"
"27/10/2023","1","34.4"
"27/10/2023","2","75.3"
"27/10/2023","3","121.1"
"27/10/2023","4","65.6"
"27/10/2023","5","78.3"
"27/10/2023","6","82.9"
"27/10/2023","7","92.0"
"27/10/2023","8","87.5"
"27/10/2023","9","137.5"
"27/10/2023","10","138.5"
"27/10/2023","11","114.5"
"27/10/2023","12","172.6"
"27/10/2023","13","149.4"
"27/10/2023","14","131.3"
"27/10/2023","15","109.4"
"27/10/2023","16","47.9"
"27/10/2023","17","162.1"
"27/10/2023","18","91.2"
"27/10/2023","19","71.0"
"27/10/2023","20","14.8"
"27/10/2023","21","30.0"
"27/10/2023","22","37.4"
"27/10/2023","23","45.7"
"28/10/2023","0","56.2"
"28/10/2023","1","37.4"
"28/10/2023","2","1.1"
"28/10/2023","3","37.9"
"28/10/2023","4","27.9"
"28/10/2023","5","10.2"
"28/10/2023","6","45.7"
"28/10/2023","7","62.9"
"28/10/2023","8",""
"28/10/2023","9","181.1"
"28/10/2023","10","82.9"
"28/10/2023","11","99.9"
"28/10/2023","12","137.3"
"28/10/2023","13","189.0"
"28/10/2023","14","119.4"
"28/10/2023","15","189.7"
"28/10/2023","16","150.4"
"28/10/2023","17","165.5"
"28/10/2023","18","137.8"
"28/10/2023","19","73.7"
"28/10/2023","20","21.8"
"28/10/2023","21","18.1"
"28/10/2023","22","19.1"
"28/10/2023","23","26.0"
"29/10/2023","0","25.7"
"29/10/2023","1","46.9"
"29/10/2023","2","46.9"
"29/10/2023","3","29.1"
"29/10/2023","4","41.5"
"29/10/2023","5","44.9"
"29/10/2023","6","93.4"
"29/10/2023","7","100.9"
"29/10/2023","8","52.0"
"29/10/2023","9","80.5"
"29/10/2023","10","94.9"
"29/10/2023","11","231.0"
"29/10/2023","12","142.9"
"29/10/2023","13","179.2"
"29/10/2023","14","91.2"
"29/10/2023","15","131.4"
"29/10/2023","16","113.8"
"29/10/2023","17","79.3"
"29/10/2023","18","106.3"
"29/10/2023","19","182.8"
"29/10/2023","20","32.5"
"29/10/2023","21","5.8"
"29/10/2023","22","25.0"
"29/10/2023","23","88.8"
"30/10/2023","0","38.6"
"30/10/2023","1","12.4"
"30/10/2023","2","19.6"
"30/10/2023","3","40.5"
"30/10/2023","4","17.7"
"30/10/2023","5","24.0"
"30/10/2023","6","26.7"
"30/10/2023","7","54.8"
"30/10/2023","8","78.1"
"30/10/2023","9","62.4"
"30/10/2023","10","32.5"
"30/10/2023","11",""
"30/10/2023","12","110.9"
"30/10/2023","13",""
"30/10/2023","14",""
"30/10/2023","15","39.6"
"30/10/2023","16","71.8"
"30/10/2023","17","102.0"
"30/10/2023","18","76.1"
"30/10/2023","19","25.9"
"30/10/2023","20","36.6"
"30/10/2023","21","23.0"
"30/10/2023","22","27.4"
"30/10/2023","23","34.2"
"31/10/2023","0","43.4"
"31/10/2023","1","29.8"
"31/10/2023","2","29.7"
"31/10/2023","3","17.1"
"31/10/2023","4","13.7"
"31/10/2023","5","32.6"
"31/10/2023","6","51.2"
"31/10/2023","7","149.5"
"31/10/2023","8","107.4"
"31/10/2023","9","198.9"
"31/10/2023","10","125.1"
"31/10/2023","11","63.4"
"31/10/2023","12","118.4"
"31/10/2023","13","126.9"
"31/10/2023","14","100.9"
"31/10/2023","15","64.3"
"31/10/2023","16","103.1"
"31/10/2023","17","57.2"
"31/10/2023","18","116.9"
"31/10/2023","19","53.5"
"31/10/2023","20","34.7"
"31/10/2023","21","22.5"
"31/10/2023","22","31.8"
"31/10/2023","23","32.5"
"01/11/2023","0","80.7"
"01/11/2023","1","43.0"
"01/11/2023","2","85.3"
"01/11/2023","3","77.0"
"01/11/2023","4","106.1"
"01/11/2023","5","36.6"
"01/11/2023","6","61.0"
"01/11/2023","7","130.1"
"01/11/2023","8","186.2"
"01/11/2023","9","230.7"
"01/11/2023","10","89.5"
"01/11/2023","11","114.2"
"01/11/2023","12","191.6"
"01/11/2023","13","585.7"
"01/11/2023","14","715.4"
"01/11/2023","15","363.9"
"01/11/2023","16","190.4"
"01/11/2023","17","272.7"
"01/11/2023","18","164.9"
"01/11/2023","19","114.0"
"01/11/2023","20","36.8"
"01/11/2023","21","13.0"
"01/11/2023","22","13.3"
"01/11/2023","23","30.5"
"02/11/2023","0","27.2"
"02/11/2023","1","97.6"
"02/11/2023","2","120.3"
"02/11/2023","3","82.7"
"02/11/2023","4","160.9"
"02/11/2023","5","38.8"
"02/11/2023","6","40.3"
"02/11/2023","7","109.2"
"02/11/2023","8","143.6"
"02/11/2023","9","165.9"
"02/11/2023","10","159.6"
"02/11/2023","11","93.3"
"02/11/2023","12","115.2"
"02/11/2023","13","147.0"
"02/11/2023","14","156.4"
"02/11/2023","15","107.7"
"02/11/2023","16","46.8"
"02/11/2023","17","46.6"
"02/11/2023","18","34.6"
"02/11/2023","19","35.4"
"02/11/2023","20","108.2"
"02/11/2023","21","16.9"
"02/11/2023","22","29.3"
"02/11/2023","23","35.1"
"03/11/2023","0","26.2"
"03/11/2023","1","81.0"
"03/11/2023","2","45.4"
"03/11/2023","3","28.1"
"03/11/2023","4","74.8"
"03/11/2023","5","30.8"
"03/11/2023","6","52.8"
"03/11/2023","7","96.3"
"03/11/2023","8","189.9"
"03/11/2023","9","114.7"
"03/11/2023","10","114.7"
"03/11/2023","11","27.9"
"03/11/2023","12","34.0"
"03/11/2023","13","69.7"
"03/11/2023","14","61.2"
"03/11/2023","15","38.8"
"03/11/2023","16","30.0"
"03/11/2023","17","107.9"
"03/11/2023","18","72.4"
"03/11/2023","19","64.3"
"03/11/2023","20","48.8"
"03/11/2023","21","64.8"
"03/11/2023","22","92.7"
"03/11/2023","23","97.3"
"04/11/2023","0","99.2"
"04/11/2023","1","84.4"
"04/11/2023","2","56.2"
"04/11/2023","3","92.4"
"04/11/2023","4","98.2"
"04/11/2023","5","72.4"
"04/11/2023","6","156.2"
"04/11/2023","7","311.6"
"04/11/2023","8","166.1"
"04/11/2023","9","70.4"
"04/11/2023","10","36.6"
"04/11/2023","11","78.2"
"04/11/2023","12","127.2"
"04/11/2023","13","129.6"
"04/11/2023","14","51.5"
"04/11/2023","15","30.3"
"04/11/2023","16","66.5"
"04/11/2023","17","182.8"
"04/11/2023","18","62.9"
"04/11/2023","19","119.3"
"04/11/2023","20","45.4"
"04/11/2023","21","41.0"
"04/11/2023","22","39.0"
"04/11/2023","23","44.9"
"05/11/2023","0","49.1"
"05/11/2023","1","69.0"
"05/11/2023","2","86.1"
"05/11/2023","3","56.2"
"05/11/2023","4","25.0"
"05/11/2023","5","51.8"
"05/11/2023","6","76.3"
"05/11/2023","7","143.6"
"05/11/2023","8","139.2"
"05/11/2023","9","165.6"
"05/11/2023","10","65.5"
"05/11/2023","11","28.1"
"05/11/2023","12","23.7"
"05/11/2023","13","144.1"
"05/11/2023","14","55.7"
"05/11/2023","15","36.4"
"05/11/2023","16","54.0"
"05/11/2023","17","79.0"
"05/11/2023","18","90.0"
"05/11/2023","19","62.4"
"05/11/2023","20","46.4"
"05/11/2023","21","40.0"
"05/11/2023","22","33.9"
"05/11/2023","23","22.0"
"06/11/2023","0","42.4"
"06/11/2023","1","50.1"
"06/11/2023","2","91.0"
"06/11/2023","3","29.1"
"06/11/2023","4","71.0"
"06/11/2023","5","65.1"
"06/11/2023","6","155.0"
"06/11/2023","7","65.6"
"06/11/2023","8","204.1"
"06/11/2023","9","149.1"
"06/11/2023","10","198.2"
"06/11/2023","11","152.3"
"06/11/2023","12","220.2"
"06/11/2023","13","134.6"
"06/11/2023","14","86.8"
"06/11/2023","15","40.3"
"06/11/2023","16","56.2"
"06/11/2023","17","129.1"
"06/11/2023","18","84.4"
"06/11/2023","19","72.9"
"06/11/2023","20","42.9"
"06/11/2023","21","37.8"
"06/11/2023","22","42.6"
"06/11/2023","23","56.7"
"07/11/2023","0","79.5"
"07/11/2023","1","81.2"
"07/11/2023","2","68.8"
"07/11/2023","3","72.9"
"07/11/2023","4","40.0"
"07/11/2023","5","144.5"
"07/11/2023","6","57.9"
"07/11/2023","7","225.0"
"07/11/2023","8","219.4"
"07/11/2023","9","158.9"
"07/11/2023","10","66.3"
"07/11/2023","11","26.2"
"07/11/2023","12","46.4"
"07/11/2023","13","31.5"
"07/11/2023","14","43.2"
"07/11/2023","15","78.3"
"07/11/2023","16","53.5"
"07/11/2023","17","78.5"
"07/11/2023","18","125.4"
"07/11/2023","19","53.7"
"07/11/2023","20","48.6"
"07/11/2023","21","17.6"
"07/11/2023","22","25.9"
"07/11/2023","23","33.0"
"08/11/2023","0","38.1"
"08/11/2023","1","32.8"
"08/11/2023","2","76.1"
"08/11/2023","3","75.3"
"08/11/2023","4","51.5"
"08/11/2023","5","122.7"
"08/11/2023","6","116.2"
"08/11/2023","7","169.4"
"08/11/2023","8","310.1"
"08/11/2023","9","385.8"
"08/11/2023","10","74.6"
"08/11/2023","11","26.4"
"08/11/2023","12","46.1"
"08/11/2023","13","56.5"
"08/11/2023","14","46.7"
"08/11/2023","15","101.9"
"08/11/2023","16","150.7"
"08/11/2023","17","75.8"
"08/11/2023","18","100.9"
"08/11/2023","19","44.2"
"08/11/2023","20","39.3"
"08/11/2023","21","54.7"
"08/11/2023","22","72.7"
"08/11/2023","23","146.7"
"09/11/2023","0","53.8"
"09/11/2023","1","39.8"
"09/11/2023","2","71.7"
"09/11/2023","3","72.7"
"09/11/2023","4","61.7"
"09/11/2023","5","78.5"
"09/11/2023","6","51.8"
"09/11/2023","7","96.5"
"09/11/2023","8","211.6"
"09/11/2023","9","171.6"
"09/11/2023","10","63.1"
"09/11/2023","11","62.4"
"09/11/2023","12","99.7"
"09/11/2023","13","100.9"
"09/11/2023","14","75.8"
"09/11/2023","15","48.8"
"09/11/2023","16","217.7"
"09/11/2023","17","258.0"
"09/11/2023","18","136.1"
"09/11/2023","19","74.1"
"09/11/2023","20","52.8"
"09/11/2023","21","54.7"
"09/11/2023","22","157.2"
"09/11/2023","23","143.6"
"10/11/2023","0","131.8"
"10/11/2023","1","80.7"
"10/11/2023","2","50.6"
"10/11/2023","3","80.0"
"10/11/2023","4","74.4"
"10/11/2023","5","111.3"
"10/11/2023","6","84.9"
"10/11/2023","7","150.9"
"10/11/2023","8","179.0"
"10/11/2023","9","109.1"
"10/11/2023","10","149.4"
"10/11/2023","11","105.3"
"10/11/2023","12","80.2"
"10/11/2023","13","140.5"
"10/11/2023","14","101.6"
"10/11/2023","15","98.3"
"10/11/2023","16","74.9"
"10/11/2023","17","69.8"
"10/11/2023","18","67.6"
"10/11/2023","19","98.0"
"10/11/2023","20","36.1"
"10/11/2023","21","24.9"
"10/11/2023","22","23.5"
"10/11/2023","23","15.2"
"11/11/2023","0","45.4"
"11/11/2023","1","22.5"
"11/11/2023","2","30.8"
"11/11/2023","3","86.3"
"11/11/2023","4","42.4"
"11/11/2023","5","52.8"
"11/11/2023","6","105.1"
"11/11/2023","7","100.9"
"11/11/2023","8","167.1"
"11/11/2023","9","156.7"
"11/11/2023","10","100.2"
"11/11/2023","11","72.0"
"11/11/2023","12","135.8"
"11/11/2023","13","88.0"
"11/11/2023","14","54.0"
"11/11/2023","15","25.0"
"11/11/2023","16","431.8"
"11/11/2023","17","150.4"
"11/11/2023","18","376.3"
"11/11/2023","19","56.9"
"11/11/2023","20","19.6"
"11/11/2023","21","22.7"
"11/11/2023","22","24.2"
"11/11/2023","23","40.5"
"12/11/2023","0","16.7"
"12/11/2023","1","27.6"
"12/11/2023","2","79.2"
"12/11/2023","3","36.6"
"12/11/2023","4","42.7"
"12/11/2023","5","61.2"
"12/11/2023","6","66.6"
"12/11/2023","7","155.2"
"12/11/2023","8","254.7"
"12/11/2023","9","78.3"
"12/11/2023","10","23.7"
"12/11/2023","11","8.2"
"12/11/2023","12","36.4"
"12/11/2023","13","84.9"
"12/11/2023","14","28.4"
"12/11/2023","15","13.6"
"12/11/2023","16","25.9"
"12/11/2023","17","76.3"
"12/11/2023","18","164.5"
"12/11/2023","19","93.4"
"12/11/2023","20","27.1"
"12/11/2023","21","36.1"
"12/11/2023","22","38.8"
"12/11/2023","23","21.8"
"13/11/2023","0","104.1"
"13/11/2023","1","46.4"
"13/11/2023","2","78.8"
"13/11/2023","3","57.9"
"13/11/2023","4","46.4"
"13/11/2023","5","73.2"
"13/11/2023","6","75.6"
"13/11/2023","7","213.1"
"13/11/2023","8","195.2"
"13/11/2023","9","90.0"
"13/11/2023","10","60.2"
"13/11/2023","11","192.6"
"13/11/2023","12","172.4"
"13/11/2023","13",""
"13/11/2023","14",""
"13/11/2023","15","1.0"
"13/11/2023","16","1001.0"
"13/11/2023","17","254.5"
"13/11/2023","18","354.4"
"13/11/2023","19","44.1"
"13/11/2023","20","21.8"
"13/11/2023","21","30.3"
"13/11/2023","22","28.6"
"13/11/2023","23","30.5"
"14/11/2023","0","76.5"
"14/11/2023","1","38.1"
"14/11/2023","2","66.0"
"14/11/2023","3","57.9"
"14/11/2023","4","137.0"
"14/11/2023","5","96.3"
"14/11/2023","6","70.0"
"14/11/2023","7","270.3"
"14/11/2023","8","319.0"
"14/11/2023","9","504.6"
"14/11/2023","10","136.5"
"14/11/2023","11","116.7"
"14/11/2023","12","85.9"
"14/11/2023","13","71.2"
"14/11/2023","14","57.7"
"14/11/2023","15","276.9"
"14/11/2023","16","55.2"
"14/11/2023","17","74.4"
"14/11/2023","18","92.9"
"14/11/2023","19","78.7"
"14/11/2023","20","24.2"
"14/11/2023","21","25.9"
"14/11/2023","22","33.9"
"14/11/2023","23","26.4"
"15/11/2023","0","49.6"
"15/11/2023","1","19.1"
"15/11/2023","2","30.3"
"15/11/2023","3","53.3"
"15/11/2023","4","109.1"
"15/11/2023","5","60.9"
"15/11/2023","6","49.4"
"15/11/2023","7","84.4"
"15/11/2023","8","132.3"
"15/11/2023","9","210.9"
"15/11/2023","10","91.2"
"15/11/2023","11","28.1"
"15/11/2023","12","105.1"
"15/11/2023","13","86.3"
"15/11/2023","14","82.4"
"15/11/2023","15","62.6"
"15/11/2023","16","52.5"
"15/11/2023","17","68.3"
"15/11/2023","18","53.0"
"15/11/2023","19","53.0"
"15/11/2023","20","31.3"
"15/11/2023","21","11.4"
"15/11/2023","22","21.0"
"15/11/2023","23","30.5"
"16/11/2023","0","19.3"
"16/11/2023","1","66.6"
"16/11/2023","2","99.0"
"16/11/2023","3","60.9"
"16/11/2023","4","68.3"
"16/11/2023","5","19.4"
"16/11/2023","6","45.9"
"16/11/2023","7","58.2"
"16/11/2023","8","170.1"
"16/11/2023","9","66.0"
"16/11/2023","10","67.0"
"16/11/2023","11","123.0"
"16/11/2023","12","86.1"
"16/11/2023","13","93.6"
"16/11/2023","14","116.5"
"16/11/2023","15","119.8"
"16/11/2023","16","70.5"
"16/11/2023","17","104.6"
"16/11/2023","18","79.2"
"16/11/2023","19","85.8"
"16/11/2023","20","30.3"
"16/11/2023","21","73.9"
"16/11/2023","22","56.7"
"16/11/2023","23","43.9"
"17/11/2023","0","109.6"
"17/11/2023","1","69.5"
"17/11/2023","2","92.4"
"17/11/2023","3","25.7"
"17/11/2023","4","33.2"
"17/11/2023","5","51.8"
"17/11/2023","6","80.0"
"17/11/2023","7","135.5"
"17/11/2023","8","214.0"
"17/11/2023","9","128.3"
"17/11/2023","10","90.4"
"17/11/2023","11","113.0"
"17/11/2023","12","119.1"
"17/11/2023","13","103.3"
"17/11/2023","14","145.8"
"17/11/2023","15","199.4"
"17/11/2023","16","57.0"
"17/11/2023","17","53.0"
"17/11/2023","18","63.1"
"17/11/2023","19","197.7"
"17/11/2023","20","47.9"
"17/11/2023","21","61.9"
"17/11/2023","22","43.9"
"17/11/2023","23","46.4"
"18/11/2023","0","34.0"
"18/11/2023","1","32.5"
"18/11/2023","2","45.4"
"18/11/2023","3","54.7"
"18/11/2023","4","45.9"
"18/11/2023","5","35.2"
"18/11/2023","6","70.3"
"18/11/2023","7","193.8"
"18/11/2023","8","279.3"
"18/11/2023","9","109.8"
"18/11/2023","10","29.0"
"18/11/2023","11","32.3"
"18/11/2023","12","131.1"
"18/11/2023","13","87.3"
"18/11/2023","14","100.9"
"18/11/2023","15","80.7"
"18/11/2023","16","34.7"
"18/11/2023","17","173.3"
"18/11/2023","18","78.2"
"18/11/2023","19","42.7"
"18/11/2023","20","51.0"
"18/11/2023","21","45.4"
"18/11/2023","22","62.6"
"18/11/2023","23","69.7"
"19/11/2023","0","45.7"
"19/11/2023","1","67.3"
"19/11/2023","2","64.8"
"19/11/2023","3","36.8"
"19/11/2023","4","31.3"
"19/11/2023","5","84.1"
"19/11/2023","6","89.2"
"19/11/2023","7","270.8"
"19/11/2023","8","178.5"
"19/11/2023","9","74.8"
